Name,Endereço,Petisco,Contato,Instagram,Descrição,Funcionamento
Espetinho da Villa,"Rua Moraes e Castro, 447 – Alto dos Passos",Drumet da Villa,(32) 98479-0145,espetinhodavilla,"Coxinha da asa recheada com queijo minas, espinafre e alho-poró, servida com molho de alho-poró e redução de laranja na cachaça com pimenta biquinho.",Terça a Sexta – 17h às 00h | Sábado – 12h às 00h | Domingo – 11h às 22h
Ibitibar,"Rua Ibitiguaia, 462 – Santa Luzia",Ronc Ronc de Minas,(32) 98806-1329,ibitibarjf,"Trouxinha de copa lombo, recheado com queijo meia cura e rúcula, empanado, envolvida no bacon. Acompanhado de molho de melaço de rapadura e especiarias, flambado na cachaça.",Quarta e Quinta – 18h30 às 23h | Sexta – 18h30 às 00h | Sábado – 17h às 00h | Domingo – 17h às 23h
Informal Bar e Restaurante,"Rua da Abolição, 54 – Jardim Glória",Popaye Mineiro,(32) 3321-4032,informal.bar,"Polpetone recheado com espinafre e ricota, acompanhado com molho de espinafre. Clássico italiano, preparado com carnes selecionadas, recheado com espinafre e queijo cremoso de ricota, finalizado com delicado molho de espinafre.",Terça a Sexta – 17h às 22h | Sábado – 12h às 22h | Domingo – 12h às 18h
Lero Lero Bar,"Av. Barão do Rio Branco, 280 – Manoel Honório",Trindade Mineira,(32) 99971-3042,lerolerojf,"Alcatra ao molho de queijo com alho-poró, servida com batatas e goiabada, combinação inspirada na culinária mineira que une salgado e doce.",Terça a Sexta – 16h às 23h | Sábado e Domingo – 14h às 23h
Nosso Bar JF,"Rua Tomé de Souza, 92 – Benfica",Casal Raiz,(32) 99193-4380,nossobarjf,Linguiça artesanal de fraldinha ao molho suculento de repolho e especiarias a moda da casa.,Segunda – 17h às 23h | Terça a Domingo – 11h às 23h
Pão Moiado,"Rua José Nunes Leal, 45 – Santa Luzia",Beiju de Língua,(32) 98867-6967,paomoiadobar,Língua cozida com agrião acompanhada com beiju de tapioca e salsa de agrião picante.,Quarta a Sábado – 18h às 22h30
Pappadog Bar,"Rua Barão de Santa Helena, 165 – Granbery",Pappopeye,(32) 99871-6588,pappadog_artesanal,O petisco apresenta picanha de cozimento lento com molho americano em uma cesta crocante feita de massa de pastel e coberto por camada de queijo. A criação é finalizada com um pesto de espinafre fresco sob o crocante da cebola crisp.,Segunda a Quinta – 18h às 23h | Sexta e Sábado – 18h às 00h | Domingo – 18h às 23h
Petisqueira,"Av. Eugênio do Nascimento, 475 – Aeroporto",Paixão de Buteco,(32) 3029-1819,petisqueirajuizdefora,"Costela de boi cozida, com mandioca na manteiga de garrafa, tomates assados, com rúcula.",Quarta a Sexta – 17h às 23h | Sábado – 10h às 22h | Domingo – 10h às 18h
Recanto dos Manacás,"Rua Oswaldo Gouvêa, 941 – Santo Antônio",Deu Jogo,(32) 3235-0920,recdosmanacas,Dadinhos de costela bovina prensada acompanhado de caramelo de rúcula.,Quarta a Sexta – 18h às 23h | Sábado – 11h às 23h | Domingo – 11h às 17h
Reza Forte,"Rua Dr. João Pinheiro, 356 – Jardim Glória",Zé das Couve,(32) 99174-1012,orezaforte,"Pão chinês de couve manteiga cozido no vapor, recheado com cupim ao shoyu e melado, vinagrete de talo de couve, maionese da casa e couve crocante.",Terça a Sábado – 18h às 23h30
Super Lazin,"Av. Sete de Setembro, 1167 – Centro",Boi Supremo,(32) 99925-6546,superlazinav7,"Isca de miolo da alcatra com catupiry, alho-poró flambado com mussarela.",Terça a Quinta – 18h às 23h15 | Sexta e Sábado – 18h às 23h30 | Domingo – 18h às 23h
Varanda Restô Beer,"Rua Barão de Santa Helena, 596 – Granbery",Dedim di Prosa – Dosi Sabores,(32) 3321-0786,varandarestobeer,"Cestinha com recheio de couve-flor, bacon e alho-poró, nos dois sabores que ninguém resiste: peito de peru e carne seca suína.",Terça a Quinta – 17h30 às 22h30 | Sexta e Sábado – 17h30 às 23h | Domingo – 17h30 às 22h30
Zaka’s Gastro Beer,"Rua Tenente Paulo Maria Delage, 292 – Borboleta",Chiqueirinho Arrumado,( 32) 98700-7071,zakasgastrobeer,"Bolinho de picanha suína defumada (sem massa), recheado de queijo, azeitona e alho-poró. Acompanha molho especial da casa.",Terça a Sexta – 18h às 00h | Sábado – 12h às 00h | Domingo – 12h às 22h
